Command,Type,SeqNum,Preamble,TrackStatus,LapNumber,GreenTime,GreenLaps,YellowTime,YellowLaps,RedTime,NumYellows,CurrLeader,NumLeadChanges,AveRaceSpeed
F,New,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Repeat,3,R.I,Unflagged,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,New,4,R.I,Green,0,00:00:00,0,00:00:00,0,00:00:00,0,,0,0
F,Update,4,R.I,Green,0,00:00:04.4706000,0,00:00:00,0,00:00:00,0,22,0,0
F,Update,4,R.I,Green,0,00:00:24.1576000,0,00:00:00,0,00:00:00,0,22,0,0
F,Update,4,R.I,Green,1,00:00:44.1736000,1,00:00:00,0,00:00:00,0,22,0,213.825
F,Update,4,R.I,Green,1,00:01:04.1896000,1,00:00:00,0,00:00:00,0,22,0,213.825
F,Update,4,R.I,Green,2,00:01:24.1933000,2,00:00:00,0,00:00:00,0,22,0,216.9239
F,Update,4,R.I,Green,2,00:01:44.2243000,2,00:00:00,0,00:00:00,0,22,0,216.9239
F,Update,4,R.I,Green,3,00:02:04.2243000,3,00:00:00,0,00:00:00,0,22,0,218.0201
