Command,Type,SeqNum,Preamble,TrackStatus,TimeDate,ElapsedTime,LapsToGo,TimeToGo
H,New,24926,R.I,Unflagged,5/26/2019 12:29:55 PM,00:00:00,200,00:00:00
H,New,24927,R.I,Unflagged,5/26/2019 12:29:56 PM,00:00:00,200,00:00:00
H,New,24928,R.I,Unflagged,5/26/2019 12:29:57 PM,00:00:00,200,00:00:00
H,New,24929,R.I,Unflagged,5/26/2019 12:29:58 PM,00:00:00,200,00:00:00
H,New,24930,R.I,Unflagged,5/26/2019 12:29:59 PM,00:00:00,200,00:00:00
H,New,24931,R.I,Unflagged,5/26/2019 12:30:00 PM,00:00:00,200,00:00:00
H,New,24932,R.I,Unflagged,5/26/2019 12:30:01 PM,00:00:00,200,00:00:00
H,New,24933,R.I,Unflagged,5/26/2019 12:30:02 PM,00:00:00,200,00:00:00
H,New,24934,R.I,Unflagged,5/26/2019 12:30:03 PM,00:00:00,200,00:00:00
H,New,24935,R.I,Unflagged,5/26/2019 12:30:04 PM,00:00:00,200,00:00:00
H,New,24936,R.I,Unflagged,5/26/2019 12:30:05 PM,00:00:00,200,00:00:00
H,New,24937,R.I,Unflagged,5/26/2019 12:30:06 PM,00:00:00,200,00:00:00
H,New,24938,R.I,Unflagged,5/26/2019 12:30:07 PM,00:00:00,200,00:00:00
H,New,24939,R.I,Unflagged,5/26/2019 12:30:08 PM,00:00:00,200,00:00:00
H,New,24940,R.I,Unflagged,5/26/2019 12:30:09 PM,00:00:00,200,00:00:00
H,New,24941,R.I,Unflagged,5/26/2019 12:30:10 PM,00:00:00,200,00:00:00
H,New,24942,R.I,Unflagged,5/26/2019 12:30:11 PM,00:00:00,200,00:00:00
H,New,24943,R.I,Unflagged,5/26/2019 12:30:12 PM,00:00:00,200,00:00:00
H,New,24944,R.I,Unflagged,5/26/2019 12:30:13 PM,00:00:00,200,00:00:00
H,New,24945,R.I,Unflagged,5/26/2019 12:30:14 PM,00:00:00,200,00:00:00
H,New,24946,R.I,Unflagged,5/26/2019 12:30:15 PM,00:00:00,200,00:00:00
H,New,24947,R.I,Unflagged,5/26/2019 12:30:16 PM,00:00:00,200,00:00:00
H,New,24948,R.I,Unflagged,5/26/2019 12:30:17 PM,00:00:00,200,00:00:00
H,New,24949,R.I,Unflagged,5/26/2019 12:30:18 PM,00:00:00,200,00:00:00
H,New,24950,R.I,Unflagged,5/26/2019 12:30:19 PM,00:00:00,200,00:00:00
H,New,24951,R.I,Unflagged,5/26/2019 12:30:20 PM,00:00:00,200,00:00:00
H,New,24952,R.I,Unflagged,5/26/2019 12:30:21 PM,00:00:00,200,00:00:00
